LISTING_ID,DATE,AVAILABLE,RESERVATION_ID,PRICE,MINIMUM_NIGHTS,MAXIMUM_NIGHTS
3781,2021-07-12,f,1,125,32,1125
3781,2021-07-13,f,1,125,32,1125
3781,2021-07-14,f,1,125,32,1125
3781,2021-07-15,f,2,125,32,1125
3781,2021-07-16,f,2,125,32,1125
3781,2021-07-17,f,2,125,32,1125
3781,2021-07-18,f,2,125,32,1125
3781,2021-07-19,f,2,125,32,1125
3781,2021-07-20,f,2,125,32,1125
3781,2021-07-21,f,3,125,32,1125
3781,2021-07-22,f,3,125,32,1125
3781,2021-07-23,f,4,125,32,1125
3781,2021-07-24,f,4,125,32,1125
3781,2021-07-25,t,NULL,125,32,1125
3781,2021-07-26,t,NULL,125,32,1125
3781,2021-07-27,t,NULL,120,32,1125
3781,2021-07-28,t,NULL,120,32,1125
3781,2021-07-29,t,NULL,120,32,1125
3781,2021-07-30,t,NULL,120,32,1125
3781,2021-07-31,t,NULL,120,32,1125
3781,2021-08-01,t,NULL,120,32,1125
3781,2021-08-02,t,NULL,120,32,1125
3781,2021-08-03,t,NULL,120,32,1125
3781,2021-08-04,t,NULL,120,32,1125
3781,2021-08-05,t,NULL,120,32,1125
3781,2021-08-06,t,NULL,120,32,1125
3781,2021-08-07,t,NULL,120,32,1125
3781,2021-08-08,t,NULL,120,32,1125
3781,2021-08-09,t,NULL,120,32,1125
3781,2021-08-10,t,NULL,120,32,1125
3781,2021-08-11,t,NULL,120,32,1125
3781,2021-08-12,t,NULL,120,32,1125
3781,2021-08-13,t,NULL,120,32,1125
3781,2021-08-14,t,NULL,120,32,1125
3781,2021-08-15,t,NULL,120,32,1125
3781,2021-08-16,t,NULL,120,32,1125
3781,2021-08-17,t,NULL,120,32,1125
3781,2021-08-18,t,NULL,120,32,1125
3781,2021-08-19,t,NULL,120,32,1125
3781,2021-08-20,t,NULL,120,32,1125
3781,2021-08-21,t,NULL,125,32,1125
3781,2021-08-22,f,5,125,32,1125
3781,2021-08-23,f,5,125,32,1125
3781,2021-08-24,f,5,125,32,1125
3781,2021-08-25,f,6,125,32,1125
